plate,column,row,morphotype
5,2,f,A
5,2,g,K
5,2,h,D
5,3,a,D
5,3,b,B
5,3,c,E
5,3,d,B
5,3,e,B
5,3,f,I
5,3,g,K
5,3,h,F
5,4,a,D
5,4,b,B
5,4,c,D
5,4,d,A
5,4,e,B
5,4,f,D
5,4,g,A
5,4,h,F
5,5,a,D
5,5,b,L
5,5,c,I
5,5,d,A
5,5,e,A
5,5,f,A
5,5,g,D
5,5,h,B
5,6,a,D
5,6,b,A
5,6,c,E
5,6,d,E
5,6,e,B
5,6,f,D
5,6,g,D
5,6,h,B
5,7,a,B
5,7,b,A
5,7,c,B
5,7,d,E
5,7,e,A
5,7,f,A
5,7,g,K
5,7,h,A
5,8,a,B
5,8,b,I
5,8,c,D
5,8,d,B
5,8,e,B
5,8,f,A
5,8,g,K
5,8,h,I
5,9,a,I
5,9,b,B
5,9,c,I
5,9,d,A
5,9,e,A
5,9,f,D
5,9,g,F
5,9,h,E
5,10,a,A
5,10,b,B
5,10,c,M
5,10,d,A
5,10,e,A
5,10,f,A
5,10,g,G
5,10,h,D
5,11,a,D
5,11,b,A
5,11,c,D
5,11,d,A
5,11,e,A
5,11,f,A
5,11,g,F
5,11,h,B
5,12,a,BLANK
5,12,b,B
5,12,c,B
5,12,d,B
5,12,e,B
5,12,f,BLANK
5,12,g,K
5,12,h,E
6,1,a,K
6,1,b,D
6,1,c,B
6,1,d,E
6,1,e,O
6,1,f,B
6,1,g,A
6,1,h,P
6,2,a,K
6,2,b,B
6,2,c,D
6,2,d,E
6,2,e,O
6,2,f,D
6,2,g,A
6,2,h,P
6,3,a,K
6,3,b,A
6,3,c,B
6,3,d,A
6,3,e,O
6,3,f,D
6,3,g,A
6,3,h,P
6,4,a,D
6,4,b,B
6,4,c,B
6,4,d,G
6,4,e,O
6,4,f,A
6,4,g,A
6,4,h,C
6,5,a,A
6,5,b,D
6,5,c,D
6,5,d,G
6,5,e,O
6,5,f,A
6,5,g,A
6,5,h,E
6,6,a,K
6,6,b,D
6,6,c,B
6,6,d,G
6,6,e,A
6,6,f,A
6,6,g,A
6,6,h,P
6,7,a,K
6,7,b,A
6,7,c,B
6,7,d,B
6,7,e,B
6,7,f,B
6,7,g,B
6,7,h,C
6,8,a,K
6,8,b,A
6,8,c,A
6,8,d,B
6,8,e,B
6,8,f,B
6,8,g,B
6,8,h,C
6,9,a,K
6,9,b,B
6,9,c,F
6,9,d,B
6,9,e,A
6,9,f,D
6,9,g,A
6,9,h,F
6,10,a,K
6,10,b,A
6,10,c,B
6,10,d,D
6,10,e,A
6,10,f,A
6,10,g,BLANK
6,10,h,B
6,11,a,K
6,11,b,B
6,11,c,B
6,11,d,F
6,11,e,O
6,11,f,L
6,11,g,BLANK
6,11,h,B
6,12,a,K
6,12,b,B
6,12,c,BLANK
6,12,d,A
6,12,e,O
6,12,f,B
6,12,g,BLANK
6,12,h,C
7,1,a,
7,1,b,
7,1,c,
7,1,d,
7,1,e,
7,1,f,
7,1,g,
7,1,h,
7,2,a,
7,2,b,
7,2,c,
7,2,d,
7,2,e,
7,2,f,
7,2,g,
7,2,h,
7,3,a,
7,3,b,
7,3,c,
7,3,d,
7,3,e,
7,3,f,
7,3,g,
7,3,h,
7,4,a,
7,4,b,
7,4,c,
7,4,d,
7,4,e,
7,4,f,
7,4,g,
7,4,h,
7,5,a,
7,5,b,
7,5,c,
7,5,d,
7,5,e,
7,5,f,
7,5,g,
7,5,h,
7,6,a,
7,6,b,
7,6,c,
7,6,d,
7,6,e,
7,6,f,
7,6,g,
7,6,h,
7,7,a,
7,7,b,
7,7,c,
7,7,d,
7,7,e,
7,7,f,
7,7,g,
7,7,h,
7,8,a,
7,8,b,
7,8,c,
7,8,d,
7,8,e,
7,8,f,
7,8,g,
7,8,h,
7,9,a,
7,9,b,
7,9,c,
7,9,d,
7,9,e,
7,9,f,
7,9,g,
7,9,h,
7,10,a,
7,10,b,
7,10,c,
7,10,d,
7,10,e,
7,10,f,
7,10,g,
7,10,h,
7,11,a,
7,11,b,
7,11,c,
7,11,d,
7,11,e,
7,11,f,
7,11,g,
7,11,h,
7,12,a,
7,12,b,
7,12,c,
7,12,d,
7,12,e,
7,12,f,
7,12,g,
7,12,h,
8,1,a,
8,1,b,
8,1,c,
8,1,d,
8,1,e,
8,1,f,
8,1,g,
8,1,h,
8,2,a,
8,2,b,
8,2,c,
8,2,d,
8,2,e,
8,2,f,
8,2,g,
8,2,h,
8,3,a,
8,3,b,
8,3,c,
8,3,d,
8,3,e,
8,3,f,
8,3,g,
8,3,h,
8,4,a,
8,4,b,
8,4,c,
8,4,d,
8,4,e,
8,4,f,
8,4,g,
8,4,h,
8,5,a,
8,5,b,
8,5,c,
8,5,d,
8,5,e,
8,5,f,
8,5,g,
8,5,h,
8,6,a,
8,6,b,
8,6,c,
8,6,d,
8,6,e,
8,6,f,
8,6,g,
8,6,h,
8,7,a,
8,7,b,
8,7,c,
8,7,d,
8,7,e,
8,7,f,
8,7,g,
8,7,h,
8,8,a,
8,8,b,
8,8,c,
8,8,d,
8,8,e,
8,8,f,
8,8,g,
8,8,h,
8,9,a,
8,9,b,
8,9,c,
8,9,d,
8,9,e,
8,9,f,
8,9,g,
8,9,h,
8,10,a,
8,10,b,
8,10,c,
8,10,d,
8,10,e,
8,10,f,
8,10,g,
8,10,h,
8,11,a,
8,11,b,
8,11,c,
8,11,d,
8,11,e,
8,11,f,
8,11,g,
8,11,h,
8,12,a,
8,12,b,
8,12,c,
8,12,d,
8,12,e,
8,12,f,
8,12,g,
8,12,h,
9,1,a,
9,1,b,
9,1,c,
9,1,d,
9,1,e,
9,1,f,
9,1,g,
9,1,h,
9,2,a,
9,2,b,
9,2,c,
9,2,d,
9,2,e,
9,2,f,
9,2,g,
9,2,h,
9,3,a,
9,3,b,
9,3,c,
9,3,d,
9,3,e,
9,3,f,
9,3,g,
9,3,h,
9,4,a,
9,4,b,
9,4,c,
9,4,d,
9,4,e,
9,4,f,
9,4,g,
9,4,h,
9,5,a,
9,5,b,
9,5,c,
9,5,d,
9,5,e,
9,5,f,
9,5,g,
9,5,h,
9,6,a,
9,6,b,
9,6,c,
9,6,d,
9,6,e,
9,6,f,
9,6,g,
9,6,h,
9,7,a,
9,7,b,
9,7,c,
9,7,d,
9,7,e,
9,7,f,
9,7,g,
9,7,h,
9,8,a,
9,8,b,
9,8,c,
9,8,d,
9,8,e,
9,8,f,
9,8,g,
9,8,h,
9,9,a,
9,9,b,
9,9,c,
9,9,d,
9,9,e,
9,9,f,
9,9,g,
9,9,h,
9,10,a,
9,10,b,
9,10,c,
9,10,d,
9,10,e,
9,10,f,
9,10,g,
9,10,h,
9,11,a,
9,11,b,
9,11,c,
9,11,d,
9,11,e,
9,11,f,
9,11,g,
9,11,h,
9,12,a,
9,12,b,
9,12,c,
9,12,d,
9,12,e,
9,12,f,
9,12,g,
9,12,h,
10,1,a,
10,1,b,
10,1,c,
10,1,d,
10,1,e,
10,1,f,
10,1,g,
10,1,h,
10,2,a,
10,2,b,
10,2,c,
10,2,d,
10,2,e,
10,2,f,
10,2,g,
10,2,h,
10,3,a,
10,3,b,
10,3,c,
10,3,d,
10,3,e,
10,3,f,
10,3,g,
10,3,h,
10,4,a,
10,4,b,
10,4,c,
10,4,d,
10,4,e,
10,4,f,
10,4,g,
10,4,h,
10,5,a,
10,5,b,
10,5,c,
10,5,d,
10,5,e,
10,5,f,
10,5,g,
10,5,h,
10,6,a,
10,6,b,
10,6,c,
10,6,d,
10,6,e,
10,6,f,
10,6,g,
10,6,h,
10,7,a,
10,7,b,
10,7,c,
10,7,d,
10,7,e,
10,7,f,
10,7,g,
10,7,h,
10,8,a,
10,8,b,
10,8,c,
10,8,d,
10,8,e,
10,8,f,
10,8,g,
10,8,h,
10,9,a,
10,9,b,
10,9,c,
10,9,d,
10,9,e,
10,9,f,
10,9,g,
10,9,h,
10,10,a,
10,10,b,
10,10,c,
10,10,d,
10,10,e,
10,10,f,
10,10,g,
10,10,h,
10,11,a,
10,11,b,
10,11,c,
10,11,d,
10,11,e,
10,11,f,
10,11,g,
10,11,h,
10,12,a,
10,12,b,
10,12,c,
10,12,d,
10,12,e,
10,12,f,
10,12,g,
10,12,h,
,,,
,,,
,ABG,,
