sample,tree_id,direction,replicate,site,elevation,plate,column,row
3367,2572,South,6,d,h,D07,8,B
3368,2572,East,1,d,h,D07,8,C
3369,2572,East,2,d,h,D07,8,D
3371,2572,East,3,d,h,D07,8,E
3372,2572,East,4,d,h,D07,8,F
3373,2572,East,5,d,h,D07,8,G
3374,2572,East,6,d,h,D07,8,H
3375,2572,North,1,d,h,D07,9,A
3376,2572,North,2,d,h,D07,9,B
3377,2572,North,3,d,h,D07,9,C
3378,2572,North,4,d,h,D07,9,D
3379,2572,North,6,d,h,D07,9,E
3381,2572,West,1,d,h,D07,9,F
3382,2572,West,2,d,h,D07,9,G
3383,2572,West,3,d,h,D07,9,H
3384,2572,West,4,d,h,D07,10,A
3385,2572,West,6,d,h,D07,10,B
3386,2551,South,1,d,h,D07,10,C
3387,2551,South,2,d,h,D07,10,D
3388,2551,South,3,d,h,D07,10,E
3389,2551,South,4,d,h,D07,10,F
3391,2551,South,6,d,h,D07,10,G
3392,2551,East,1,d,h,D07,10,H
3393,2551,East,2,d,h,D07,11,A
3394,2551,East,3,d,h,D07,11,B
3395,2551,East,4,d,h,D07,11,C
3396,2551,East,5,d,h,D07,11,D
3397,2551,East,6,d,h,D07,11,E
3398,2551,North,1,d,h,D07,11,F
3399,2551,North,2,d,h,D07,11,G
3513,2551,North,6,d,h,D07,11,H
3515,2551,West,2,d,h,D07,12,A
3517,2551,West,4,d,h,D07,12,B
3519,2551,West,6,d,h,D07,12,C
3521,2539,South,1,d,h,D07,12,D
3526,2539,South,6,d,h,D07,12,E
3529,2539,East,3,d,h,D07,12,F
3531,2539,East,4,d,h,D07,12,G
3532,2539,East,6,d,h,D07,12,H
3533,2539,North,1,d,h,D08,1,A
3537,2539,North,5,d,h,D08,1,B
3538,2539,North,6,d,h,D08,1,C
3541,2539,West,2,d,h,D08,1,D
3544,2539,West,6,d,h,D08,1,E
3572,402,South,3,f,l,D08,1,F
3574,402,South,6,f,l,D08,1,G
3575,402,East,1,f,l,D08,1,H
3587,402,East,2,f,l,D08,2,A
3588,402,East,3,f,l,D08,2,B
3589,402,East,4,f,l,D08,2,C
3591,402,East,6,f,l,D08,2,D
