new_column,new_row,new_plate,sjnf_plate,amp_success,old_column,old_well
6,E,dmc_5,bailey_harvest,1,2,B
6,F,dmc_5,bailey_harvest,1,2,D
6,G,dmc_5,bailey_harvest,1,2,E
6,H,dmc_5,bailey_harvest,1,2,F
7,A,dmc_5,bailey_harvest,1,2,G
7,B,dmc_5,bailey_harvest,1,2,H
7,C,dmc_5,bailey_harvest,1,3,D
7,D,dmc_5,bailey_harvest,1,3,E
7,E,dmc_5,bailey_harvest,1,3,G
7,F,dmc_5,bailey_harvest,1,3,H
7,G,dmc_5,bailey_harvest,1,4,A
7,H,dmc_5,bailey_harvest,1,4,F
8,A,dmc_5,bailey_harvest,1,4,G
8,B,dmc_5,bailey_harvest,1,4,H
8,C,dmc_5,bailey_harvest,1,5,A
8,D,dmc_5,bailey_harvest,1,5,B
8,E,dmc_5,bailey_harvest,1,5,C
8,F,dmc_5,bailey_harvest,1,5,D
8,G,dmc_5,bailey_harvest,1,5,F
8,H,dmc_5,bailey_harvest,1,5,G
9,A,dmc_5,bailey_harvest,1,5,H
9,B,dmc_5,bailey_harvest,1,6,A
9,C,dmc_5,bailey_harvest,1,6,B
9,D,dmc_5,bailey_harvest,1,6,C
9,E,dmc_5,bailey_harvest,1,6,D
